生首技	鮮血, 卓上, 看客, 喫驚	一八六五年	英國, 倫敦	可羅涅耳 斯脫德兒		I_01_24_02.ann
私立學校	家塾, 方言, 九經, 後生, 訓導, 私塾, 太師, 九齋, 後進, 敎誨, 侍中崔公徒, 侍中, 熊川徒, 參政, 匡憲公徒, 祭酒, 南山徒, 僕射, 西園徒, 侍中, 文忠公徒, 平章, 良愼公徒, 貞敬公徒, 忠平公徒, 貞憲公徒, 徐侍郞碩의 徒, 龜山徒, 十二徒	高麗 文宗	新羅	薛聰, 崔沖, 鄭倍傑, 盧坦盧旦, 金尙賓, 金無津金無滯, 殷鼎, 金義珍, 黃瑩, 柳監, 文正		I_01_06_06.ann
影法	影, 物之陰, 陽之反對, 無物, 無影, 無光, 氣映之影, 水攝之影, 鏡照之影, 氣, 水, 鏡, 氣之體, 太虛, 生影, 糢糊, 水之體, 太淸, 玲瓏, 鏡之體, 太明, 瑩澈, 逼眞, 氣影, 水影, 鏡影, 罔兩, 影旁蒙曨氣, 生影之微氣, 玻瓈鏡, 水, 影, 倒影, 氣, 血水之氣, 視差法, 空氣之攝物, 池水之攝影, 山海之氣, 倒塔影, 陽燧影, 攝物轉照之理, 塔影, 天光, 日光, 燈光, 陽燧, 算家, 格術, 鳶, 糢糊, 明顯, 走馬角上之影, 攝影鏡摸法, 物象象物之術, 奪造化, 轉光移影之法, 顚倒, 橫斜, 順逆, 遠近, 像影		眞如寺	漆園叟, 方位白, 湯若望	天香樓偶得, 客座贅語, 夢溪筆談, 客座贅語, 遠鏡說	O_01_08_05.ann
三際	暖際, 熱際, 冷際, 五帶, 冷帶, 溫冷界, 溫帶, 溫暖界, 暖帶, 九重天, 月天, 溫冷熱, 溫際, 晝長晝短二圈, 日輪, 北極圈, 南極圈, 北極晝長, 南極晝短, 正帶, 暖氣, 定度, 寒暖二氣, 寒氣, 雨, 雪, 珠雪, 霰, 初雪, 雪片			熊有綱	水法	O_01_01_14.ann
骨牌	骰子, 江牌, 侍史, 西班牙人	唐代, 十三世紀	耶路撒冷, 歐洲	白樂天		I_01_24_06.ann
摩擦電氣	電氣, 一種, 效驗, 發電, 物體, 摩擦, 家兒法哇尼電氣, 窩兒他電氣, 電池, 化學的 作用, 醫士, 蛙足, 痙攣, 物理學者, 花喇德電氣, 磁氣, 感應, 電流, 捲線	西 一千七百八十六年, 同九十三年, 西 一千八百二十一年	希臘, 義大利, 英	地利斯, 家兒法哇尼, 窩兒他, 花喇德		I_01_05_07.ann
軺軒	藍輿, 一輪, 人夫, 馬軺, 魚軒, 卿大夫	我國初				I_01_22_05.ann
家理移官	妻子, 臣妾, 百姓, 徒役, 刑家之道, 尊卑, 大小, 親踈, 喜怒, 賞罰, 利害, 動靜, 家主, 察色, 聞言, 寵愛, 踈逖, 居家, 國法, 祥雲, 瑞日, 迅雷, 烈風, 禍福, 堂陛, 人主, 父老			子, 夫差, 公孫, 明皇		S_07_01_84.ann
均田	王政, 經界, 貧富, 强弱, 平治國家, 天下, 黎庶, 王土, 王田, 私物, 聖人之遺, 鉅室, 豪族, 民情, 授田之制, 變革, 井法, 溝洫, 均田論, 永業田, 買賣, 券文, 貧室, 兼幷, 先儒, 富强, 世業, 喪葬, 利害, 分數, 私賣, 公田, 姓名, 量田	元魏	秦, 滕, 中國, 宋, 明	王莽, 鞅, 孟子, 林勲, 孝文, 朱子	本政書, 魚鱗圖	S_07_01_95.ann
除夕放砲	禁中, 除夕, 大砲, 年終放砲		燕京			I_01_28_24.ann
中江開市	耕作, 煙火, 氓俗, 大小邦, 彊域, 兩民, 雜居, 戈戟, 安寢, 中江, 開市, 飢荒, 建白, 綿布, 鐵器, 粟, 流布, 數年, 譯舌, 物貨, 罷市, 太監, 移咨, 嚴切, 照舊, 買賣, 禮部, 布, 鹽, 鐵, 上國, 弓角, 馬畜, 侈靡, 玩好, 紋綺, 長短	宣廟末年, 壬辰, 壬寅, 光海己酉	義州, 三江, 鴨綠江, 豆滿, 鍾離, 卑梁, 遼東, 中國, 我邦	西厓, 高洋		S_07_01_27.ann
亭亭亭堂堂堂	扁額, 城市, 山林, 臨池, 水檻, 濠濮想, 漁塘, 水竹居, 筠塢, 日涉, 市隱, 環翠, 來雲, 樓額, 利濟, 淸涼淨土, 題額對聯, 窩窩窩, 齋齋齋, 軒軒軒	順治初, 明末	陳留, 咸陽, 閩, 江右, 吳中, 江南, 金陵桃葉渡, 靑溪長板橋, 焦山焦先祠, 金山築城壘, 鎭江, 裴頭陀藏金洞, 我一片東土, 抹憂軒, 多樂樓, 愛吾廬, 善居室, 峨嵋	謝肇淛, 王漁洋士禎, 邵姓, 葛禮部寅亮, 孔知府, 魚公世謙, 譚景昇, 庚氏, 辛氏, 杜濬, 子瞻, 淵明, 我夫子, 張	徐四佳軒【居正】《集》, 化書, 范滂傳	O_09_01_06.ann
聾眛	不辨五聲, 不分五采				筆耕	D_15_01_10.ann
橋梁	䟽川, 黿鼉			舜, 禹	拾遺記	I_01_20_06.ann
飛船輪船	車子釣, 橛頭船, 轂轆, 輪船, 四輪激水, 踏車船, 雙輪, 陣馬, 車輪軻, 飛輪八楫踏車, 輪轉, 車輪船, 揷四, 飛船, 飛鳥, 輪制, 竹把子, 自轉, 轆轤, 車船, 回轉	皇明, 唐, 純廟丁丑季夏	洞庭湖, 荊湖, 我東, 湖南, 龍湖	楊升菴愼, 張志和, 譚用之, 楊么, 虞允文, 李綱, 曹王皐, 茅元儀, 方中履, 袁褧, 韓蘄王, 史紬, 劉裕, 張燧, 鄭厚祚, 李瀷, 李民秀, 王鳴鶴, 丘瓊山濬, 仇俊卿	心遊方, 丹鉛總錄, 漁父曲, 宋史, 武備志, 物理小識, 李家圖書約, 登壇必究, 僿說, 四裔考, 軍資篇	O_10_01_05.ann
餠湯	歲首書事詩, 鄕俗, 歲日, 年錕飩年餛飩, 元朝	唐, 宋	我國	陸放翁		I_01_28_02.ann
還穀	縣州里, 公錢, 秋, 國穀, 三之一, 常平倉, 糶糴, 均平, 常平, 惠民倉, 社倉, 社還, 春三月, 秋七月, 官穀, 百姓, 家口, 多少, 賑貸, 冬十月, 還納, 恒式, 里倉, 義倉, 窮民, 常式, 義倉出粟法, 頒祿制	漢 宣帝時, 宋 太宗 淳化 五年, 宋 孝宗 淳熙間, 故國川王 十六年, 元明天皇	我國, 高句麗, 高麗, 日本	朱熹	管子	I_01_10_03.ann
鑷白	地黃, 萊菔, 嫌少, 貪貴, 賤壽, 漢法, 殺人, 白髮, 老死, 鬚髮, 父母, 遺軆			冦凖, 觀雪		S_07_01_19.ann
腐雕術	强水, 金屬板, 玻瓈板, 腐蝕, 玻瓈板腐雕	十六世紀, 一千六百七十年	德國	斯溫哈耳德		I_01_13_03.ann
俗樂	西京曲, 大同江曲, 人民, 樂歌, 信鬼神, 五月, 祭, 鼓瑟歌舞, 蹋地, 辛熱樂, 舞監, 琴尺, 舞尺, 歌尺, 突阿樂, 枝兒樂, 思內樂, 碓樂, 暮夜, 男女群聚, 倡樂, 伎樂, 七部樂, 高麗伎, 箏, 箜篌, 琵琶, 笛, 笙, 簫, 觱栗, 腰鼓, 鐵板, 傀儡, 越調, 夷賓曲, 桃皮, 舞者, 紫大袖裙襦, 章甫冠, 皮履, 智異山, 禪雲山, 無等山, 神樂, 舞踏, 鳥笛, 詔琹, 百濟樂, 唐樂, 猿樂, 樂工, 音樂, 喪葬, 鼓吹歌舞, 弔, 佛敎傳播, 齋會, 雅樂寮, 雅曲, 正舞, 大歌, 立歌, 朝會, 久米舞, 古志舞, 大祀, 韓樂, 內宴, 佛事 供養, 隼人舞, 隼人司, 大嘗, 新嘗, 外使迎見, 僧侶, 樂名, 菩薩, 迦陵頻, 胡飮酒, 安摩, 二舞, 倍臚, 散手破陣樂, 拔頭, 蘇合香, 萬秋樂, 蘇莫者, 獅子, 貊桙狛桙, 貴德, 新靺鞨, 崑崙八仙, 蘇志摩利, 樂器, 太鼓, 鉦鼓, 銅鈸子, 莫目, 揩鼓, 揭鼓, 奚婁, 篳篥, 琵琶, 笒生, 方啓, 橫笛, 五絃, 尺八, 數學, 音樂學校, 音符, 長短音	箕子, 儒理王, 慈悲王, 漢代, 隋, 唐, 天照大神時, 推古天皇 十九年, 文武天皇 大寶, 聖武天皇, 第十六世紀第六世紀	我東, 三韓, 新羅, 高句麗, 百濟, 日本, 天竺, 希臘	脫解王, 婆娑王, 奈解王, 百結先生, 李勣, 味摩之, 允恭天皇, 皮斯哥剌斯, 羅馬法王 古勒哥利 一世, 法蘭可	高麗史 樂志, 文獻通考	I_01_21_02.ann
貨幣	銕錢, 銅錢, 銀貨, 紙幣, 物品, 交換, 泉貨, 泉府, 鹿臺, 金錢, 九府圜法, 大錢, 本位貨, 補助貨, 上幣, 黃金, 半兩, 紙貨, 鉄貨, 貿易, 布幣, 東國通寶, 海東重寶, 三韓重寶, 東國重寶, 銅貨, 銀甁貨, 標印, 濶口, 詐僞, 碎銀, 小銀甁, 銀錢, 朝鮮通寶, 箭幣, 柳葉箭, 八方通貨, 常平倉, 常平通寶, 黃銅錢, 當百錢, 當五錢, 銀銅貨, 鑄錢司, 和銅開珍錢, 開基勝寶, 太平元寶, 萬年通寶, 楮幣, 寬永通寶, 太政官鈔票, 不換紙幣, 民部省票, 大藏省兌換証券, 開拓使兌換証券, 貨幣條例, 寶玉, 貝, 獸皮, 䀋, 牛羊骨角, 樹木皮, 銅鉄, 銅鉛, 重量, 方位, 鑄錢器, 兌換券, 銀行票, 國庫, 銀行, 兌換紙幣	三韓, 高麗 成宗 十五年, 肅宗 二年, 高麗 肅宗, 忠烈王 十三年, 忠惠王, 恭愍王, 恭讓王, 定宗, 世祖 九年, 仁祖 十二年, 孝宗 六年, 肅宗 六年, 太皇帝 三年, 建陽 元年, 天武皇 二年, 天武 十二年, 持統天皇 八年, 元明天皇, 淳仁天皇 四年, 後醍醐皇 建武 元年, 明正天皇, 明治 元年, 一三二 年, 一千七百九十年, 十三世紀	殷, 我國, 辰韓, 濊, 馬韓, 日本, 新羅, 泰西, 非尼西亞, 蒙古	黃帝, 武王, 姜太公, 周 景王, 秦始皇, 元 世祖 忽必烈, 蒲爾等蒲爾登	周禮, 六韜, 國語	I_01_15_07.ann
甲冑	甲, 函, 犀甲, 兕甲, 兜鍪, 冑, 被甲嬰冑			輿, 少康	世本, 周官	I_01_11_10.ann
房狗	木狗, 自能嘷吠活動, 西洋輪棙之學, 刻木作犬, 蒙以狗皮, 以鐵爲關棙, 知時而喈喈		會寧府, 慶源府, 拂林, 西番	戴榕, 王阮亭, 朱彝尊, 楊愼	黃履傳莊, 見聞錄, 池北偶談, 日下舊聞, 述異記, 獸經, 靈廞祕抄, 物理小識, 本草綱目, 茅亭客話, 五洲書種·豢擾, 博物考辨, 五洲書種·種樹書補, 神農本草, 丹鉛總錄, 淮南	O_19_01_03.ann
枕雞	鳴枕, 司晨, 木雞之喩, 三足之說, 西洋小雞, 自鳴鍾雞, 神機之御, 啼卽夢覺, 鳴雞, 畜籠著窓間, 以學書之室爲雞窓, 載枕中雞法, 附板作枕 養於其中, 每夜睡枕臥 則丑時必鳴	後漢, 皇明, 晉, 霜降	兗州, 沛國	諸葛武侯, 陶九成, 劉基, 宋處宗, 炯庵	說郛, 莊子, 冷齋夜話, 池北偶談, 學餘集, 幽冥錄, 耳目口心書, 五洲書種·豢擾	O_19_01_03.ann
速記法	謀反, 標識, 談話, 筆記, 簡易, 文字, 代用		泰西	司塞羅, 加底林		I_01_04_19.ann
胡笳	摩訶兜勤摩訶兜勒, 新聲二十八解		漢, 西域	張騫, 李延年		I_01_21_23.ann
歌舞	王天下, 關節, 通利, 作歌, 麥秀歌, 人民男女, 大同江歌, 西京曲, 妻, 箜篌引, 歌謠, 五月, 下田種, 祭鬼神, 晝夜, 聚飮歌舞, 踏地低仰, 相應爲節, 鐸舞, 歌舞鼓瑟, 十月, 祭天, 飮酒歌舞, 舞天, 會蘇曲, 兜率歌, 處容舞, 黃昌郞舞, 假面, 樂府, 舞工, 紫羅帽, 鳥羽, 黃大袖, 紫羅帶, 大口袴, 赤皮靴, 舞者, 椎髻, 絳抹額, 金璫, 黃裙襦, 赤黃袴, 烏皮靴, 雙雙倂立, 高句麗舞, 八重垣, 壟羅, 大室屋合圖, 歌謠, 舞蹈, 連歌	箕子, 儒理王, 憲康王, 唐, 景行天皇	我國, 馬韓, 辰韓, 濊貊, 新羅, 高句麗, 日本	陰康氏, 葛天氏, 霍里子高, 日本武尊		I_01_21_03.ann
洋服	衣服, 長袖, 濶幅, 邊緣, 不飾, 白羊毛, 幅巾, 戰爭, 英衣, 佛帽	羅馬時代, 十四世紀, 十八世紀末	西洋, 英, 佛			I_01_18_28.ann
寒食	冬至, 疾風, 甚雨, 禁火, 三日, 有功, 不得賞, 龍蛇之歌, 隱於山, 不出, 抱木, 死, 哀, 火禁, 國中, 季春, 將出火, 舊制	周		晋 文公, 介子推, 司烜氏	荊楚歲時記, 琴操, 周禮	I_01_28_10.ann
酒名混沌	混沌酒歌			鄭虛庵	本集	D_11_01_31.ann
混沌	鏡文			王昌瑾	麗本史	D_11_01_31.ann
蹴鞠	武士, 敎鍊	戰國		黃帝		I_01_24_16.ann
武弁注擬	用人之道, 奔競, 武士, 掌銓之門, 武弁, 衣冠之族, 臨民, 治兵, 爲國, 忠貞, 文藝, 武技, 弓刀之任, 表賦, 事大, 用表, 爲制, 武經, 高下, 注擬, 蔭仕, 仕期, 爲籍, 先後, 邊堡, 闕員, 四方, 監司, 才藝					S_07_01_59.ann
無線電	空氣	一千八百八十年頃	義大利	瑪老尼		I_01_22_09.ann
連珠體	連珠, 騈儷		漢	楊雄揚雄		I_01_04_11.ann
杖鼓	腰鼓, 羯鼓, 瓦, 木, 廣首, 纖腹, 杖, 手	漢, 魏			通考	I_01_21_20.ann
十二次	南極老人, 丁方, 壽星, 角、亢, 列宿之長, 大火, 心, 析木, 津梁, 南斗, 天漢之津梁, 析木, 牽牛, 日月五星之所終始, 星紀, 玄枵, 虛, 正北, 北方, 黑, 訾, 口, 降婁, 奎、婁, 溝瀆, 降婁, 大梁, 昴, 實沈傳, 鶉首, 鶉火, 鶉尾, 南方, 朱鳥, 鶉鳳, 娵訾, 實沈, 遠隖, 十二宮, 黃道, 十二象, 星象, 積尸氣, 巨蟹, 鬼宿, 蟹筐, 天蝎, 尾宿, 蠍尾, 人馬, 騎馬, 寶甁, 雙魚, 白羊, 金牛, 陰陽, 獅子, 雙女, 天稱, 磨羯, 因象立名, 節氣, 宮度		大夏	高辛氏, 實沈, 梅定九, 羲和	爾雅注, 星經, 曆學疑問補	O_01_02_18.ann
華東瓦類	華東, 異國, 埏埴, 製陶, 瓦制, 正圓, 鴛鴦瓦, 散木, 蘆簟, 灰, 椽末之瓦, 靑色, 黃琉璃瓦, 五色琉璃瓦, 靑燔瓦, 靑瓦工, 靑瓦匠, 靑瓦, 黃丹, 翠色, 哥窰紋, 宮殿, 鬆瓦, 水鐵, 釜鼎, 烏白二瓷, 元央瓦, 雌瓦, 瓦, 坯瓦, 坩子土, 馬牙硝, 黑鉛, 昵土, 墡土, 琉璃瓦, 琉璃, 泑水, 常瓦, 白墡, 黃圓, 琥珀色, 回靑	麗時, 後百濟	中國, 我東, 南關廟, 迎恩門, 元, 江華, 京畿廣州奉安驛, 東國, 全州府, 我國, 日本, 琉球, 北京, 陽德門, 豐登門, 南京報恩寺琉璃塔, 方山岡琉璃門, 燕市, 馬島倭館	蓬萊子, 我王考, 樵谷金時讓, 石天基	麗史, 峽舟記, 雜錄, 五洲書種博物考辨	O_09_02_02.ann
筆	造筆, 漆, 方簡, 刀, 刻字, 方策, 削, 柘木, 鹿毛, 羊毛, 石筆, 文字, 石面, 史家, 詩人, 蘆管, 木炭, 墨汁, 羊皮紙, 揮洒, 羽管, 金屬	秦 始皇, 摩西之時, 六世紀, 一千八百三年, 一千八百三十年	泰西, 歐洲	虞舜, 蒙恬, 遮那方, 哇支兒	物原, 博物志	I_01_04_22.ann
半臂	戰服, 內官, 半除, 士子, 常服, 眞骨, 品官, 婦女, 表衣	興德王 九年	新羅	隋 煬帝, 唐 高祖		I_01_18_07.ann
風琴		七百五十七年, 九世紀		東羅馬帝 可布羅尼斯, 法蘭克王 披徧		I_01_21_07.ann
騎	車騎, 飛鴻, 乘馬, 經典, 周末之禮, 服牛乘馬, 高岡, 崔嵬, 駟馬, 飛騎, 亂射, 勇士, 驏騎, 殺將, 擒敵, 勝負, 騎乘	昭公二十五年		左師展, 蘇秦, 子濯孺子	曲禮, 左傳, 繋辭, 詩	S_07_01_39.ann
婚禮	昏時, 行禮, 儷皮, 納采, 問名, 納吉, 納徵, 請期, 親迎, 六禮, 歸妹, 冊妃, 冊后, 嘉禮, 僕, 主人, 金銀 裝飾品, 衣服, 媳, 處女, 父母, 送呈, 古代, 聘禮	殷, 新羅 始祖 元年, 高麗 毅宗	非西岬, 駕洛國	包羲氏, 帝乙, 檀君, 河伯之女, 閼英, 首露王, 許氏(名 黃玉), 亞布剌罕, 里伯加	東史, 創世紀	I_01_08_15.ann
鋸	工學家, 蛇, 頤骨, 材木, 截斷, 金屬, 鉄葉, 齟齬, 齒		雅典	大打利亞斯, 孟子孟莊子	古史考	I_01_23_31.ann
鋼	鐵, 鍛鍊, 上古		西洋, 客巴土斯			I_01_27_06.ann
禁酒會	節酒會	一千八百二十五年	合衆國, 英國, 荷蘭			I_01_19_10.ann
袴褶	脛衣, 褶, 匿兒袴中, 窮袴, 襠, 宮人, 帶	推古天皇, 漢 昭帝	晋, 日本	趙朔, 上官皇后	史記	I_01_18_05.ann
詩歌	四言詩, 康衢謠, 賡載歌, 五言詩, 七言詩, 栢梁臺詩, 麥穗歌, 箜篌引, 黃鳥詩, 最古, 詩仙, 衣里壓, 柯地施, 歌聖, 敍情詩, 吊神子, 吊王子溺水之歌, 敍事詩, 土來戰爭, 戱曲詩, 祭神詞, 喜劇, 悲劇, 戱詩, 鼻祖	堯, 西紀元前 四百七十年	漢, 我東, 高句麗, 西洋, 希臘, 日本, 雅典	虞舜, 蘇武, 李陵, 漢 武帝, 箕子, 霍里子高, 琉璃王, 里拉斯, 埃亞里馬斯, 海拉斯, 何馬, 柿本人磨, 山邊赤人, 埃柯尼亞, 亞里斯德花尼斯, 衣斯其拉斯	萬葉集	I_01_04_05.ann
籍田	親蚕, 內宰, 仲春, 后, 內外命婦, 北郊	唐虞, 高麗 成宗			周禮	I_01_08_05.ann
對生思食	禽獸, 警省, 鷄狗, 微命, 肉味, 美惡, 烹炙, 皺眉, 弱之肉强之呑, 禽獸之道			相震		S_07_01_28.ann
五雜組災異考	五行災異之編, 辨證, 天裂東北, 狗生角, 樗樹生支如人頭, 兩月重見, 雨血, 鳩雀, 龍蛇, 鳥獸, 毛羽, 頭目, 足翅, 樹中有人面生鬚, 出血, 桓帝建和三年, 雨肉似羊肋, 馬生人, 地陷, 二鵝飛出, 生肉, 雨肉, 哭聲, 産一蛇、一虎, 死牛頭 能作人言, 鳥頭, 兩足馬蹄, 一手, 尾黃色, 産一龍一女一鵝, 暴長八尺, 髭鬚蔚然, 天星盡搖, 日傍有物如人形跪, 盤中有物如人頭, 日傍又有一日, 兩日竝出, 流星, 赤氣, 雉五足, 三出背上, 大鼠, 長二尺餘, 數百鼠反嚙猫, 人面綠毛、紺爪觜, 土塊相鬪, 雨沸湯, 日下復有一日, 日下復有二日, 兩月同出西南方, 星白晝出, 二星鬪, 神宗崩, 哲宗崩, 紅雪, 盡血, 鐵佛, 迭前迭却, 鏡自飛舞, 雨土至七晝夜	漢惠帝二年, 文帝五年, 成帝永始元年, 建始元年八月, 哀帝建平四年, 靈帝中平元年, 光和元年, 晉懷帝永嘉元年, 公孫淵時, 愍帝時, 太康九年, 永嘉中, 義熙七年, 唐開元二年五月晦, 元和二年十月, 四年閏三月, 乾符六年十一月朔, 元和六年三月日晡, 十二年九月甲辰, 咸通十四年, 弘道初, 大中十年三月, 天寶十三載, 咸通八年七月, 周顯德七年正月, 宋景德元年十二月, 天禧四年四月, 淳熙十四年五月, 咸淳十年九月, 元豐末, 元符末, 宣和末, 慶曆三年十二月, 端平三年七月, 雨血, 紹興二年, 淳熙九年, 元至元二十四年	齊雍城, 河南, 山陽, 東郡, 北地, 洛陽, 襄平北市, 平陽, 幽州, 吳郡, 無錫, 宋州, 梁州, 舒川吳塘堰, 汝州葉縣, 宣州, 德興縣	謝氏肇淛, 劉聰后, 萬詳婢, 嚴根妓, 趙未		O_01_04_04.ann
武科	科舉, 文科, 訓典, 辭令, 黜陟, 武弁, 奴隷, 閫鉞, 文詞, 禮樂, 詩書, 名將, 榮寵, 强冦, 武臣, 文任, 材器, 國朝, 拔英試, 詞章, 武經, 八股, 誦讀, 文士, 才識, 六經, 百氏, 知見, 詞藻, 東方			戚繼光, 王鳴鶴	紀效新書, 登壇必究	S_07_01_07.ann
席	群臣, 圭玉, 蒲席			黃帝	拾遺記	I_01_23_14.ann
舟車	字書, 艖, 艓, 䑠, 艒䑿, 舴艋, 舸, 艅艎, 舽艭, 舶, 艑, 艞, 艡, 艛, 艇, 艜, 艨, 艟, 之, 舠, 之, 之, 舼, 之, 椳, 柁, 舳, 艫, 艢, 輫, 覆, 窓曰, 笭突, 艦, 飛廬, 櫓, 槳, 橈, 篙, 笮, 戨, 梢, 戙, 百丈, 艆䑼, 江中舟曰, 艨艟, 外狹而長曰艨, 舫, 艁, 舵, 櫂, 艊, 竝, 䑨, 柂, 치, 㯭, 楫, 빗, 取, 推, 刺, 打, 矴, 碇, 纜, 縴, 帆, 颿, 幔, 檣, 艐, 艤, 檥, 艁, 梁, 浮橋, 輿, 隧, 軫, 收, 輢, 軌, 陰, 較, 式, 軨, 軹, 轛, 牙, 輛, 輻, 股, 骹, 菑, 弱, 蚤, 綆, 輮, 藪, 釭, 賢, 釭謂之, 輨, 軑, 軝, 轊, 鐗, 舝, 轐, 輈, 胡, 候, 頸, 踵, 當, 衡, 軥, 軌, 桯, 部, 達常, 弓, 股, 牝服, 箱, 轅, 鬲, 輗, 渠, 輪, 輇, 輞, 轢物曰, 轄, 빗쟝쇠, 軛, 轓, 轑, 軾, 䪙, 㡙, 鞇, 榻, 楇, 靷, 䡞		我東	周赧王	和漢三才圖會, 增韻, 說文, 集韻, 小爾雅, 唐韻, 字彙, 釋名	O_10_01_01.ann
風雨針	理學者, 水銀, 玻瓈管, 大氣, 壓力, 昇降高下, 度數, 濃淡, 着色, 數理學者, 尖針, 時鍾, 機關表	一六四三年, 一六六四年, 十八世紀, 一七八 年	義大利, 荷蘭, 英國, 法	脫些利, 係堅斯, 羅拔福, 基爾索, 美謝蘭, 珊夭		I_01_22_20.ann
男女宮合	占命擇日, 回鶻, 吐藩, 請婚, 公主, 拒絶	唐		呂才		I_01_25_08.ann
燕京舟車橋梁	禮樂文物, 北游人, 海行漕船, 龜船, 板屋, 粉灰, 蒙衝, 南方商船, 津船, 大鐵釘, 航橋, 鐵環, 雙橛, 長轂, 輻輪, 一車輪, 乘車, 任車, 車同軌, 獨輪小車, 貰車, 太平車, 翰林車, 車制		燕京, 我東, 北京	燕巖, 貞蕤	熱河日記, 北學議	O_10_01_03.ann
舂	杵, 斲木, 掘地, 小過, 舂人, 米物			黃帝, 雍文雍父, 赤冀	易, 周禮	I_01_23_28.ann
鋤犂	治水, 畚鍤, 作陶, 冶斤斧		新羅	神農, 夏禹, 儒理王	周書	I_01_16_03.ann
石戰	每歲, 四月 八日, 五月 五日, 兒童, 城南, 丁壯, 左右, 竪旗, 鳴鼓, 踊躍, 叫號, 投石, 死傷, 守令, 投石超距, 浿水, 馳逐	新羅, 中宗 庚午	金海, 安東, 支那, 我朝, 京師		輿地勝覽, 唐書 高句麗傳	I_01_24_21.ann
粥	烹穀			黃帝	周書	I_01_19_03.ann
淫訟	聽, 勝國, 社, 君子, 後妻, 妾, 前妻, 後生, 通文, 監司, 推官, 玉堂, 箚啓, 大司憲, 朝官, 回文, 儒者, 罪責, 杖下, 虛實, 斯文, 羞辱, 失行, 高節, 隂事, 士大夫, 隂獄, 連累			河宗岳, 李龜岩楨, 曹南冥, 洪暹, 朴應男, 鄭仁弘, 周顒, 奇高峯		S_07_01_64.ann
人類	寅, 一姓, 九人, 九區, 人類始生之祖, 人類之始, 劣等動物, 猿類, 人種, 一族, 世界人種	人皇氏	泰西			I_01_03_01.ann
辟瘟疫	天地運氣, 乖異, 災殄, 火, 相染, 草繩, 螢火丸, 免疫, 患疫, 大火, 瘟疫, 邪氣, 火氣, 盪滌, 火力		哥阿島	龐安常, 務成子, 卜加得	物理小識, 職方外紀	O_01_04_07.ann
皇明一代災異	災異, 天災, 復生, 一産五男, 臍下右側裂 生一子, 兒從瘤出, 兩頭四手三足, 六目四面, 有角, 手足各一節, 獨爪, 鬼聲, 化爲男子, 化爲婦人, 從左脇出, 化爲狼, 一産七子, 膚髮紅白黑靑各色, 頭面相連, 手足各分, 四十六年, 産一猴, 二角四齒, 頂戴兩首, 臀贅一首, 兩頭, 頂上有眼, 手過膝, 黑眚, 雨穀及蕎麥, 靑生葉, 雨粟, 枯竹開花, 苦蕒開蓮花, 雨豆, 雨豆, 草生人馬形, 鳥異, 海豐雨血, 池中出血, 土可食, 出土, 觀音粉, 土山崩, 地震, 兩山合, 雨毛, 地生毛, 雨絮, 天鼓鳴, 天裂	洪武二十四年八月, 天順四年四月, 成化十七年六月, 二十年十二月, 嘉靖二年六月, 五年, 二十七年七月, 隆慶二年十二月, 五年二月, 萬曆十年, 十八年, 三十七年六月, 崇禎八年夏, 十五年十一月, 崇禎十七年三月辛丑, 崇禎十一年, 永樂十六年正月乙丑, 十四年, 成化六年二月戊寅, 弘治八年二月, 六月甲子, 萬曆四十三年四月戊寅, 崇禎四年、五年, 崇禎六年, 崇禎七年六月戊午, 八年八月戊寅, 崇禎十四年, 崇禎九年十二月, 洪武十九年九月丙子, 洪武二十一年八月壬戌至甲子, 隆慶二年八月甲辰	河南龍門, 揚州, 宿州, 徐州, 淅川, 南宿州, 繁峙, 廣寧衛, 鎭江, 曹縣, 孝陵, 京師, 同州, 澄城, 郃陽, 朝邑, 廣州, 胡廣應山, 黟縣, 石首, 河南, 宣城, 南畿, 延慶寺, 長山十里, 鎭江金雞嶺, 秦州, 絳州西北	司牡丹, 袁馬頭, 張珍妻王氏, 胡晟妻, 馬繼, 馬錄女, 李良雨, 李宜妻牛氏	皇明史, 歷代草木鳥獸災異辨	O_01_04_06.ann
